Id,Label,timeset,0,1,2,3,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
9285,Pedrinhu1996,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9286,Angel_Gill386,,None,None,1.755196,,0,1,1,0,1,1,11,0.172903,0.17888,0
9287,Letizia4870,,None,None,32.5,,0,1,1,0,1,1,9,0.20556,0.215326,0
9288,Juliaancabrera,,None,None,4.216418,,0,1,1,0,1,1,12,0.156905,0.162785,0
9289,andrea_yeruti,,None,None,2.409496,,0,4,4,0,6,6,9,0.250952,0.271198,0
9290,Gudi90,,anr,anr,1.18662,,0,16,16,0,17,17,9,0.239468,0.256812,0
9291,loumartinez707,,None,None,4.6,,0,1,1,0,1,1,11,0.189027,0.199673,0
9292,noenavarreteEE,,None,None,9.806452,,0,1,1,0,1,1,11,0.175549,0.1826,0
9293,Gar197,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9294,benjamin_fer24,,None,None,1.244318,,0,1,1,0,1,1,11,0.179451,0.187315,0
9295,bradicardio_,,None,None,1.678571,,0,2,2,0,2,2,10,0.18477,0.194521,0
9296,darevalos,,None,None,0.464286,,0,2,2,0,2,2,9,0.229919,0.243279,0
9297,reneepereirad,,None,None,0.891304,,2,2,4,2,2,4,10,0.212765,0.226291,424.660099
9298,asadodedomingo,,None,None,0.104893,,0,2,2,0,2,2,10,0.20212,0.213008,0
9299,josedarecalde,,None,None,1.96748,,0,1,1,0,1,1,11,0.183035,0.192156,0
9300,glorompy,,None,None,2.764706,,0,1,1,0,1,1,10,0.206301,0.217673,0
9301,josepa_26,,None,None,4.401361,,0,1,1,0,1,1,10,0.200544,0.211058,0
9302,paulacostas4,,None,None,3.2,,0,1,1,0,1,1,9,0.201857,0.212895,0
9303,bf110pita,,None,None,0.829016,,0,3,3,0,3,3,9,0.249083,0.268768,0
9304,carloslopezman,,None,None,6,,0,0,0,0,0,0,0,0,0,0
9305,Teuba1486,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9306,conunmsj,,None,None,6.75,,0,8,8,0,32,32,9,0.233287,0.254117,0
9307,JorgeTorresCDE,,None,None,1.96319,,0,1,1,0,1,1,10,0.179759,0.187409,0
9308,mostrus,,None,None,1.428571,,2,0,2,2,0,2,0,0,0,0
9309,elias_ferr,,None,None,0.806818,,0,1,1,0,1,1,9,0.221205,0.236557,0
