,datetime,diff_with_previous,id_str
139,2018-03-16,0.0,974842518696230912
140,2018-03-16,0.0,974842398697312257
141,2018-03-16,0.0,974842384180826112
142,2018-03-16,0.0,974842255356956672
143,2018-03-16,0.0,974842237677981696
144,2018-03-16,0.0,974842120145121280
145,2018-03-16,0.0,974841402856280064
146,2018-03-16,0.0,974841384082526208
147,2018-03-16,0.0,974841151315423234
148,2018-03-16,0.0,974841140653580288
149,2018-03-16,0.0,974840896108843009
150,2018-03-16,0.0,974840874319392768
151,2018-03-16,0.0,974840650263916544
152,2018-03-16,0.0,974840638159060992
153,2018-03-16,0.0,974840504784388096
154,2018-03-16,0.0,974840489622016001
155,2018-03-16,0.0,974839700329394176
156,2018-03-16,0.0,974839561540067328
157,2018-03-16,0.0,974839280450367489
158,2018-03-16,0.0,974839265573076993
159,2018-03-16,0.0,974838890300411906
160,2018-03-16,0.0,974838864878727168
161,2018-03-16,0.0,974838449894297600
162,2018-03-16,0.0,974838439597223936
163,2018-03-16,0.0,974838287968980997
164,2018-03-16,0.0,974838273301532674
165,2018-03-16,0.0,974838020162629632
166,2018-03-16,0.0,974838011040096256
167,2018-03-16,0.0,974837928244412418
168,2018-03-16,0.0,974837581035790337
169,2018-03-16,0.0,974836859326038017
170,2018-03-16,0.0,974836857744879619
171,2018-03-16,0.0,974836848123146241
172,2018-03-16,0.0,974836832797159424
173,2018-03-16,0.0,974836764824293376
174,2018-03-16,0.0,974836764358643714
175,2018-03-16,0.0,974836442160615424
176,2018-03-16,0.0,974836427228934144
177,2018-03-16,0.0,974836241693802498
178,2018-03-16,0.0,974836226070138881
179,2018-03-16,0.0,974835928874278913
180,2018-03-16,0.0,974835912466157568
181,2018-03-16,0.0,974835713731645440
182,2018-03-16,0.0,974835656869412864
183,2018-03-16,0.0,974835645578432512
184,2018-03-16,0.0,974835527609446400
185,2018-03-16,0.0,974835488854069249
186,2018-03-16,0.0,974835473721053184
187,2018-03-16,0.0,974835361154326528
188,2018-03-16,0.0,974835346985881600
189,2018-03-16,0.0,974835307588792320
190,2018-03-16,0.0,974835197194784768
191,2018-03-16,0.0,974835133621702658
192,2018-03-16,0.0,974835124046041088
193,2018-03-16,0.0,974835100713213953
194,2018-03-16,0.0,974835077149544453
195,2018-03-16,0.0,974834792842833925
196,2018-03-16,0.0,974834644062556160
197,2018-03-16,0.0,974833489840365569
198,2018-03-16,0.0,974833476041134080
199,2018-03-16,0.0,974833402791817216
200,2018-03-16,0.0,974833243030683649
201,2018-03-16,0.0,974833113233752064
202,2018-03-16,0.0,974832973706092544
203,2018-03-16,0.0,974832473141104641
204,2018-03-16,0.0,974832248347381761
205,2018-03-16,0.0,974832201970933763
206,2018-03-16,0.0,974832173755846658
207,2018-03-16,0.0,974832145620455424
208,2018-03-16,0.0,974832128574853122
209,2018-03-16,0.0,974832118277779456
210,2018-03-16,0.0,974832043661185024
211,2018-03-16,0.0,974831853134929921
212,2018-03-16,0.0,974831835728498689
213,2018-03-16,0.0,974831787418574848
214,2018-03-16,0.0,974831748864409600
215,2018-03-16,0.0,974831724843667457
216,2018-03-16,0.0,974831687237558274
217,2018-03-16,0.0,974831560250810368
218,2018-03-16,0.0,974831337705177088
219,2018-03-16,0.0,974829148798582789
220,2018-03-16,0.0,974823709977563136
221,2018-03-16,0.0,974822800694398981
222,2018-03-16,0.0,974820461006770176
223,2018-03-16,0.0,974818426257641472
224,2018-03-16,0.0,974816995047870464
225,2018-03-16,0.0,974816180782403584
226,2018-03-16,0.0,974816110179692544
227,2018-03-16,0.0,974815008168300549
228,2018-03-16,0.0,974814049614680070
229,2018-03-16,0.0,974812582858100736
230,2018-03-16,0.0,974811801815781376
231,2018-03-16,0.0,974809746430717952
232,2018-03-16,0.0,974809096732979200
233,2018-03-16,0.0,974809087966838784
234,2018-03-16,0.0,974808716137594881
235,2018-03-16,0.0,974808685259182080
236,2018-03-16,0.0,974801682344415235
237,2018-03-16,0.0,974795549965680641
238,2018-03-16,0.0,974794978546323456
239,2018-03-16,0.0,974784523790684160
