,Domain,Tweets
0,facebook,20
1,lavozdigital,14
2,youtube,12
3,nanduti,9
4,tsje,9
5,abc,8
6,ultimahora,6
7,rt,6
8,hoy,5
9,launion,4
10,rockandpop,3
11,paraguay,2
12,lado,1
13,de,1
14,1,1
15,incoherencias,1
16,spacecamp,1
17,twitter,1
18,varinia,1
19,hispantv,1
20,Indignante,1
21,definirla,1
22,Como,1
23,prensa-latina,1
24,monumental,1
25,fbapp,1
26,en,1
27,mo,1
28,anibalcoro,1
29,tererecomplice,1
30,nbim,1
31,vimeo,1
32,cienciadelsur,1
33,lanacion,1
34,change,1
35,medium,1
36,tuitutil,1
